Date,Adj Close,Close,High,Low,Open,Volume
2024-04-02,505.2115173339844,518.8400268554688,518.97998046875,516.47998046875,518.239990234375,74230300
2024-04-03,505.7664794921875,519.4099731445312,520.9500122070312,517.6699829101562,517.719970703125,59155800
2024-04-04,499.5930480957031,513.0700073242188,523.8699951171875,512.760009765625,523.52001953125,96858100
2024-04-05,504.81219482421875,518.4299926757812,520.4400024414062,514.010009765625,514.4600219726562,74546500
2024-04-08,505.094482421875,518.719970703125,520.1799926757812,517.8900146484375,519.1500244140625,48401800
2024-04-09,505.6788024902344,519.3200073242188,520.75,514.3499755859375,520.5,68049200
2024-04-10,500.61541748046875,514.1199951171875,516.1599731445312,512.0900268554688,513.47998046875,82652800
2024-04-11,504.3935852050781,518.0,519.47998046875,512.0800170898438,515.6799926757812,70099000
2024-04-12,497.43133544921875,510.8500061035156,515.8200073242188,509.0799865722656,514.3699951171875,92561100
2024-04-15,491.1994934082031,504.45001220703125,515.2999877929688,503.5799865722656,515.1300048828125,92101400
2024-04-16,490.3036193847656,503.5299987792969,506.5,502.2099914550781,504.94000244140625,73484000
2024-04-17,487.4018249511719,500.54998779296875,506.2200012207031,499.1199951171875,506.04998779296875,75910300
2024-04-18,486.39892578125,499.5199890136719,504.1300048828125,498.55999755859375,501.9800109863281,74548100
2024-04-19,482.15350341796875,495.1600036621094,500.4599914550781,493.8599853515625,499.44000244140625,102212600
2024-04-22,486.59368896484375,499.7200012207031,502.3800048828125,495.42999267578125,497.8299865722656,67961000
2024-04-23,492.36785888671875,505.6499938964844,506.0899963378906,499.5299987792969,501.7799987792969,64633600
2024-04-24,492.1342468261719,505.4100036621094,507.3699951171875,503.1300048828125,506.55999755859375,55928100
2024-04-25,490.2646484375,503.489990234375,504.2699890136719,497.489990234375,499.17999267578125,69122400
2024-04-26,494.9093933105469,508.260009765625,509.8800048828125,505.70001220703125,506.3500061035156,64306100
2024-04-29,496.662109375,510.05999755859375,510.75,507.25,510.0899963378906,46415400
2024-04-30,488.7943420410156,501.9800109863281,509.55999755859375,501.9800109863281,508.55999755859375,77483600
2024-05-01,487.2071228027344,500.3500061035156,508.19000244140625,499.8699951171875,501.3800048828125,80242800
2024-05-02,491.7641906738281,505.0299987792969,505.8900146484375,499.54998779296875,504.1499938964844,62550200
2024-05-03,497.85980224609375,511.2900085449219,512.5499877929688,508.55999755859375,511.1600036621094,72756700
2024-05-06,503.0010681152344,516.5700073242188,516.6099853515625,513.2999877929688,513.75,47264700
2024-05-07,503.5561828613281,517.1400146484375,518.5700073242188,516.4500122070312,517.5599975585938,52561300
2024-05-08,503.604736328125,517.1900024414062,517.739990234375,515.1400146484375,515.260009765625,42047200
2024-05-09,506.5064697265625,520.1699829101562,520.2100219726562,516.7100219726562,517.3800048828125,43643700
2024-05-10,507.15899658203125,520.8400268554688,522.6400146484375,519.5900268554688,521.8099975585938,52233200
2024-05-13,507.22705078125,520.9099731445312,522.6699829101562,519.739990234375,522.5599975585938,36716400
2024-05-14,509.5543518066406,523.2999877929688,523.8300170898438,520.5599975585938,521.1099853515625,57535900
2024-05-15,515.8641357421875,529.780029296875,530.0800170898438,525.1799926757812,525.8300170898438,59504900
2024-05-16,514.8026733398438,528.6900024414062,531.52001953125,528.5399780273438,529.8800048828125,50244800
2024-05-17,515.5427856445312,529.4500122070312,529.52001953125,527.3200073242188,528.8099975585938,59187600
2024-05-20,516.1367797851562,530.0599975585938,531.5599975585938,529.1699829101562,529.5700073242188,37764200
2024-05-21,517.4025268554688,531.3599853515625,531.52001953125,529.0700073242188,529.280029296875,33437000
2024-05-22,515.912841796875,529.8300170898438,531.3800048828125,527.5999755859375,530.6500244140625,48390000
2024-05-23,512.1443481445312,525.9600219726562,533.0700073242188,524.719970703125,532.9600219726562,57211200
2024-05-24,515.5330200195312,529.4400024414062,530.27001953125,526.8800048828125,527.8499755859375,41291100
2024-05-28,515.8932495117188,529.8099975585938,530.510009765625,527.1099853515625,530.27001953125,36269600
2024-05-29,512.2808227539062,526.0999755859375,527.3099975585938,525.3699951171875,525.6799926757812,45190300
2024-05-30,508.88238525390625,522.6099853515625,525.2000122070312,521.3300170898438,524.52001953125,46377600
2024-05-31,513.5174560546875,527.3699951171875,527.5,518.3599853515625,523.5900268554688,90785800
2024-06-03,513.9360961914062,527.7999877929688,529.3099975585938,522.5999755859375,529.02001953125,46835700
2024-06-04,514.5105590820312,528.3900146484375,529.1500244140625,524.9600219726562,526.4600219726562,34632700
2024-06-05,520.6255493164062,534.6699829101562,534.6900024414062,528.72998046875,530.77001953125,47610400
2024-06-06,520.6159057617188,534.6599731445312,535.4199829101562,532.6799926757812,534.97998046875,30808500
2024-06-07,519.9830322265625,534.010009765625,536.8900146484375,532.5399780273438,533.6599731445312,43224500
2024-06-10,521.589599609375,535.6599731445312,535.989990234375,532.5700073242188,533.1799926757812,35686100
2024-06-11,522.8457641601562,536.9500122070312,537.010009765625,532.0499877929688,534.0700073242188,36383400
2024-06-12,527.139892578125,541.3599853515625,544.1199951171875,540.2999877929688,541.6300048828125,63251300
2024-06-13,528.201416015625,542.4500122070312,543.3300170898438,539.5900268554688,543.1500244140625,44760900
2024-06-14,528.522705078125,542.780029296875,542.8099975585938,539.8499755859375,540.8800048828125,40089900
2024-06-17,532.7291870117188,547.0999755859375,548.530029296875,541.6099853515625,542.0800170898438,55839500
2024-06-18,534.0827026367188,548.489990234375,548.6199951171875,546.72998046875,547.1599731445312,41376400
2024-06-20,532.6318359375,547.0,550.1199951171875,545.1799926757812,549.4400024414062,70328200
2024-06-21,531.9176635742188,544.510009765625,545.6500244140625,543.02001953125,544.4000244140625,64338600
2024-06-24,530.1885986328125,542.739990234375,546.9500122070312,542.6199951171875,544.3300170898438,45528700
2024-06-25,532.2303466796875,544.8300170898438,545.2000122070312,542.4400024414062,543.989990234375,37936200
2024-06-26,532.8946533203125,545.510009765625,546.239990234375,543.030029296875,543.6900024414062,38550600
2024-06-27,533.7346801757812,546.3699951171875,546.9600219726562,544.6099853515625,545.3699951171875,35041500
2024-06-28,531.6343994140625,544.219970703125,550.280029296875,542.9500122070312,547.1599731445312,76144500
2024-07-01,532.728515625,545.3400268554688,545.8800048828125,542.52001953125,545.6300048828125,40297800
2024-07-02,536.3136596679688,549.010009765625,549.010009765625,543.6500244140625,543.7000122070312,40434800
2024-07-03,538.70703125,551.4600219726562,551.8300170898438,548.6500244140625,548.6900024414062,32789900
2024-07-05,541.8134765625,554.6400146484375,555.0499877929688,551.1199951171875,551.77001953125,41488400
2024-07-08,542.4386596679688,555.280029296875,556.25,554.1900024414062,555.4400024414062,36110500
2024-07-09,542.9661865234375,555.8200073242188,557.1799926757812,555.52001953125,556.260009765625,27289700
2024-07-10,548.3388671875,561.3200073242188,561.6699829101562,556.77001953125,557.0700073242188,38701200
2024-07-11,543.6109008789062,556.47998046875,562.3300170898438,555.8300170898438,561.4400024414062,53054200
2024-07-12,547.0396118164062,559.989990234375,563.6699829101562,557.1500244140625,557.6300048828125,53084400
2024-07-15,548.5440063476562,561.530029296875,564.8400268554688,559.6300048828125,562.030029296875,40584300
2024-07-16,551.7970581054688,564.8599853515625,565.1599731445312,562.0999755859375,562.8699951171875,36475300
2024-07-17,544.060302734375,556.9400024414062,560.510009765625,556.6099853515625,558.7999877929688,57119000
2024-07-18,539.8790893554688,552.6599731445312,559.52001953125,550.4299926757812,558.510009765625,56270400
2024-07-19,536.2941284179688,548.989990234375,554.0800170898438,547.9099731445312,552.4199829101562,65509100
2024-07-22,541.8232421875,554.6500244140625,555.27001953125,551.02001953125,553.0,43346700
2024-07-23,540.9733276367188,553.780029296875,556.739990234375,553.280029296875,554.5399780273438,34439600
2024-07-24,528.7135009765625,541.22998046875,549.1699829101562,540.2899780273438,548.8599853515625,74515300
2024-07-25,525.958740234375,538.4099731445312,547.4600219726562,537.4500122070312,541.3499755859375,61158300
2024-07-26,531.8493041992188,544.4400024414062,547.1900024414062,541.489990234375,542.280029296875,53763800
2024-07-29,532.161865234375,544.760009765625,547.0499877929688,542.719970703125,546.02001953125,39515800
